Pollster,Date,Trump,Carson,Bush,Cruz,Rubio,Huckabee,Paul,Fiorina,Walker,Kasich,Christie,Santorum,Perry,Jindal,Graham
Monmouth,2015-06-14,2,11,9,5,9,8,6,2,10,1,4,3,4,1,2
NBC/WSJ,2015-06-18,1,11,22,4,14,9,7,2,17,1,4,0,5,0,1
FOX News,2015-06-23,11,10,15,4,8,6,9,3,9,2,2,3,2,2,1
CNN/ORC,2015-06-28,12,7,19,3,6,8,7,1,6,2,3,3,4,2,1
Monmouth,2015-07-12,13,6,15,9,6,7,6,1,7,1,2,2,2,2,0
USAT/Suffolk,2015-07-12,17,4,14,6,5,4,4,1,8,1,3,1,1,1,0
FOX News,2015-07-15,18,6,14,4,7,4,8,1,15,2,3,2,1,0,0
ABC/Wash Post,2015-07-19,24,6,12,4,7,8,6,0,13,2,3,1,4,2,0
PPP (D),2015-07-21,19,10,12,4,10,8,4,4,17,3,3,1,1,1,0
CNN/ORC,2015-07-25,18,4,15,7,6,5,6,1,10,4,4,2,3,2,1
Rasmussen,2015-07-27,26,5,10,7,5,7,3,1,14,5,2,2,2,2,1
Quinnipiac,2015-07-28,20,6,10,5,6,6,6,1,13,5,3,1,2,2,1
NBC/WSJ,2015-07-30,19,10,14,9,5,6,6,0,15,3,3,1,3,1,0
FOX News,2015-08-02,26,7,15,6,5,6,5,2,9,3,3,2,1,1,0
Rasmussen,2015-08-10,17,8,10,7,10,3,4,9,9,4,4,1,1,1,1
FOX News,2015-08-13,25,12,9,10,4,6,3,5,6,4,3,1,1,1,0
CNN/ORC,2015-08-16,24,9,13,5,8,4,6,5,8,5,3,1,2,0,0
Quinnipiac,2015-08-25,28,12,7,7,7,3,2,5,6,5,4,1,1,0,0
PPP (D),2015-08-30,29,15,9,6,7,5,1,8,5,6,2,2,1,0,0
Monmouth,2015-09-02,30,18,8,8,5,4,2,4,3,2,2,0,1,0,0
CNN/ORC,2015-09-08,32,19,9,7,3,5,3,3,5,2,2,1,0,1,1
ABC/Wash Post,2015-09-10,33,20,8,7,7,3,5,2,2,3,1,1,1,1,0
